"UniversityName","FinancialAid","Tuition","AdmissionRate","ApplicationFee"
"Aaniiih Nakoda College","","2380 in-state and 2380 out-of-state ","","10"
"Abilene Christian University","24361","34850 in-state and 34850 out-of-state ","58","50"
"Abraham Baldwin Agricultural College","","4128 in-state and 12550 out-of-state ","","20"
"Academy College","9320","17661 in-state and 17661 out-of-state ","","40"
"Academy of Art University","10984","27810 in-state and 27810 out-of-state ","100","50"
"Adams State University","13775","9440 in-state and 20456 out-of-state ","99","30"
"Adelphi University","21500","38660 in-state and 38660 out-of-state ","73","40"
"Adirondack Community College","","5375 in-state and 9935 out-of-state ","97","35"
"Adrian College","26870","37087 in-state and 37087 out-of-state ","60","0"
"Advanced Technology Institute","","13680 in-state and 13680 out-of-state ","","45"
"Agnes Scott College","36505","41160 in-state and 41160 out-of-state ","66","0"
"Aiken Technical College","","5160 in-state and 8010 out-of-state ","","0"
"Aims Community College","7357","2281 in-state and 13018 out-of-state ","100","0"
"Alabama State University","16694","11068 in-state and 19396 out-of-state ","98","25"
"Alamance Community College","","2310 in-state and 8070 out-of-state ","","0"
"Alaska Bible College","","9300 in-state and 9300 out-of-state ","","35"
"Alaska Pacific University","","20830 in-state and 20830 out-of-state ","86","25"
"Albany College of Pharmacy and Health Sciences","","35105 in-state and 35105 out-of-state ","79","75"
"Albany State University","4838","6726 in-state and 19802 out-of-state ","97","25"
"Albany Technical College","","3246 in-state and 5916 out-of-state ","","25"
"Albertus Magnus College","27993","32060 in-state and 32060 out-of-state ","64","35"
"Albion College","44414","45775 in-state and 45775 out-of-state ","71","0"
"Albright College","41714","45306 in-state and 45306 out-of-state ","50","35"
"Alcorn State University","7581","7144 in-state and 7144 out-of-state ","40","0"
"Alderson-Broaddus University","23507","27910 in-state and 27910 out-of-state ","41","0"
"Alexandria Technical and Community College","","5416 in-state and 5416 out-of-state ","","20"
"Alfred University","31102","33484 in-state and 33484 out-of-state ","63","50"
"Alice Lloyd College","","2050 in-state and 2050 out-of-state ","","0"
"Allan Hancock College","","1418 in-state and 7898 out-of-state ","","0"
"Allegany College of Maryland","","4140 in-state and 9210 out-of-state ","","0"
"Allegheny College","42666","47540 in-state and 47540 out-of-state ","68","0"
"Allegheny Wesleyan College","","6400 in-state and 6400 out-of-state ","","0"
"Allen County Community College","","3150 in-state and 3150 out-of-state ","","0"
"Allen University","","13340 in-state and 13340 out-of-state ","","0"
"Alliant International University","","18000 in-state and 18000 out-of-state ","","65"
"Alpena Community College","","4530 in-state and 6840 out-of-state ","","0"
"Alvernia University","","34885 in-state and 34885 out-of-state ","71","0"
"Alverno College","26594","28302 in-state and 28302 out-of-state ","78","0"
"Alvin Community College","","1998 in-state and 4818 out-of-state ","","0"
"Amberton University","","12840 in-state and 12840 out-of-state ","","0"
"American Academy McAllister Institute of Funeral Service","","17160 in-state and 17160 out-of-state ","77","50"
"American Academy of Art","","34100 in-state and 34100 out-of-state ","33","25"
"American Academy of Dramatic Arts","","35160 in-state and 35160 out-of-state ","","50"
"American Baptist College","","10950 in-state and 10950 out-of-state ","","30"
"American Career College","","","79","0"
"American College of California","","","64","70"
"American Health Science University","","","87","0"
"American Indian College of the Assemblies of God","","958 in-state and 958 out-of-state ","","0"
"American InterContinental University",""," in-state  out-of-state ","","0"
"American International College","28385","35680 in-state and 35680 out-of-state ","72","0"
"American Jewish University","","","","35"
"American National University: Salem","","14460 in-state and 14460 out-of-state ","","50"
"American Public University System","7920","8150 in-state and 8150 out-of-state ","","0"
"American River College","","1416 in-state and 9546 out-of-state ","","0"
"American Sentinel University",""," in-state  out-of-state ","","0"
"American University","38374","48459 in-state and 48459 out-of-state ","29","70"
"American University of Puerto Rico","","6946 in-state and 6946 out-of-state ","","25"
"Amherst College","53209","56426 in-state and 56426 out-of-state ","13","65"
"Amridge University","5416","6900 in-state and 6900 out-of-state ","","50"
"Ancilla College","","17330 in-state and 17330 out-of-state ","69","0"
"Anderson University","15910","28000 in-state and 28000 out-of-state ","79","25"
"Andrew College","26457","17388 in-state and 17388 out-of-state ","","20"
"Andrews University","29011","29288 in-state and 29288 out-of-state ","39","30"
"Angelina College","","2625 in-state and 5535 out-of-state ","100","0"
"Angelo State University","10757","8489 in-state and 20939 out-of-state ","74","35"
"Anna Maria College","","37860 in-state and 37860 out-of-state ","79","25"
"Anne Arundel Community College","","4110 in-state and 12180 out-of-state ","100","0"
"Anoka Technical College","","5584 in-state and 5584 out-of-state ","","0"
"Anoka-Ramsey Community College","","5073 in-state and 5073 out-of-state ","","0"
"Antelope Valley College","","1420 in-state and 9760 out-of-state ","","0"
"Antioch College","24310","35718 in-state and 35718 out-of-state ","97","0"
"Antioch University Midwest","","16210 in-state and 16210 out-of-state ","","45"
"Antioch University Santa Barbara","0","22575 in-state and 22575 out-of-state ","","60"
"Antonelli College: Cincinnati",""," in-state  out-of-state ","","35"
"Antonelli College: Hattiesburg",""," in-state  out-of-state ","","50"
"Antonelli College: Jackson",""," in-state  out-of-state ","","0"
"Antonelli Institute of Art and Photography","","20920 in-state and 20920 out-of-state ","","50"
"Appalachian State University","9886","7214 in-state and 22021 out-of-state ","70","65"
"Aquinas College","","23600 in-state and 23600 out-of-state ","","0"
"Arapahoe Community College","","4811 in-state and 18671 out-of-state ","100","0"
"Arcadia University","30074","43580 in-state and 43580 out-of-state ","62","30"
"Argosy University: Los Angeles",""," in-state  out-of-state ","","50"
"Argosy University: Sarasota",""," in-state  out-of-state ","","50"
"Argosy University: Washington D.C.",""," in-state  out-of-state ","","50"
"Arizona Christian University","16008","26796 in-state and 26796 out-of-state ","","30"
"Arizona State University","16638","10822 in-state and 28336 out-of-state ","84","50"
"Arizona Western College","","2520 in-state and 9510 out-of-state ","","0"
"Arkansas Baptist College","","8760 in-state and 8760 out-of-state ","","25"
"Arkansas Northeastern College","","2450 in-state and 4250 out-of-state ","","0"
"Arkansas State University Mid-South","","3274 in-state and 5014 out-of-state ","100","0"
"Arkansas State University: Beebe","","3600 in-state and 5760 out-of-state ","","0"
"Arkansas State University: Mountain Home","","2856 in-state and 4464 out-of-state ","","0"
"Arkansas State University: Newport","","3480 in-state and 5310 out-of-state ","","0"
"Arkansas Tech University","9235","9068 in-state and 15848 out-of-state ","95","0"
"Arlington Baptist University","5192","13190 in-state and 13190 out-of-state ","49","25"
"Armstrong State University","12831","6384 in-state and 19866 out-of-state ","78","30"
"Art Academy of Cincinnati","","33889 in-state and 33889 out-of-state ","","0"
"Art Center College of Design","","43416 in-state and 43416 out-of-state ","","50"
"Art Institute of Atlanta",""," in-state  out-of-state ","","50"
"Art Institute of California: San Francisco",""," in-state  out-of-state ","","50"
"Art Institute of Cincinnati","","16834 in-state and 16834 out-of-state ","","100"
"Art Institute of Houston","","24024 in-state and 24024 out-of-state ","","0"
"Art Institute of Las Vegas",""," in-state  out-of-state ","","50"
"Art Institute of Philadelphia","","14850 in-state and 14850 out-of-state ","","50"
"Art Institute of Pittsburgh","","23376 in-state and 23376 out-of-state ","","50"
"Art Institute of Seattle",""," in-state  out-of-state ","","50"
"Art Institutes International Minnesota",""," in-state  out-of-state ","","50"
"ASA College","","14065 in-state and 14065 out-of-state ","","25"
"Asbury University","24093","30198 in-state and 30198 out-of-state ","70","0"
"Asheville-Buncombe Technical Community College","","2354 in-state and 8114 out-of-state ","","0"
"Ashford University","","12160 in-state and 12160 out-of-state ","","0"
"Ashland Community and Technical College","","","","0"
"Ashland University","18686","21342 in-state and 21342 out-of-state ","74","0"
"Ashworth College","","1399 in-state and 1399 out-of-state ","","0"
"Asnuntuck Community College","","4404 in-state and 13170 out-of-state ","100","20"
"Aspen University",""," in-state  out-of-state ","","0"
"Assumption College","28121","40958 in-state and 40958 out-of-state ","79","50"
"Athens State University","","6810 in-state and 12870 out-of-state ","","30"
"Athens Technical College","","3292 in-state and 5962 out-of-state ","","25"
"Atlanta English Institute","","","","50"
"Atlanta Metropolitan State College","","4008 in-state and 12088 out-of-state ","","20"
"Atlanta Technical College","5377","3350 in-state and 6020 out-of-state ","","25"
"Atlantic Cape Community College","","5096 in-state and 8096 out-of-state ","","35"
"Atlantic University College","","4525 in-state and 4525 out-of-state ","","30"
"Auburn University at Montgomery","8229","10288 in-state and 22048 out-of-state ","83","0"
"Augsburg University","32783","38800 in-state and 38800 out-of-state ","45","0"
"Augusta Technical College","","3494 in-state and 6164 out-of-state ","","25"
"Augusta University","","10758 in-state and 29796 out-of-state ","","50"
"Augustana College","32193","42135 in-state and 42135 out-of-state ","59","0"
"Augustana University","27792","33018 in-state and 33018 out-of-state ","68","0"
"Aultman College of Nursing and Health Sciences","","18510 in-state and 18510 out-of-state ","88","45"
"Aurora University","22277","24260 in-state and 24260 out-of-state ","87","0"
"Austin College","35402","39985 in-state and 39985 out-of-state ","52","0"
"Austin Community College","","2550 in-state and 13020 out-of-state ","","0"
"Austin Graduate School of Theology","","11900 in-state and 11900 out-of-state ","","25"
"Austin Peay State University","11204","8411 in-state and 24467 out-of-state ","90","25"
"Ave Maria University","18407","20850 in-state and 20850 out-of-state ","","0"
"Averett University","26770","34400 in-state and 34400 out-of-state ","62","0"
"Avila University","","","39","25"
"Azusa Pacific University","25615","38880 in-state and 38880 out-of-state ","60","45"
"Bacone College","","14850 in-state and 14850 out-of-state ","","0"
"Baker College of Flint","","11250 in-state and 11250 out-of-state ","","20"
"Baker College of Jackson","","11250 in-state and 11250 out-of-state ","","20"
"Baker University","25695","29830 in-state and 29830 out-of-state ","87","0"
"Bakersfield College","","1418 in-state and 7838 out-of-state ","","0"
"Baldwin Wallace University","28852","32586 in-state and 32586 out-of-state ","78","25"
"Ball State University","14375","9896 in-state and 26468 out-of-state ","62","55"
"Baltimore City Community College","","2893 in-state and 6973 out-of-state ","","10"
"Baptist Bible College","","14150 in-state and 14150 out-of-state ","","40"
"Baptist College of Florida","8142","12300 in-state and 12300 out-of-state ","62","25"
"Baptist Missionary Association Theological Seminary","8688","6690 in-state and 6690 out-of-state ","","35"
"Baptist University of the Americas","","7800 in-state and 7800 out-of-state ","","25"
"Barclay College","","19690 in-state and 19690 out-of-state ","74","25"
"Bard College","50218","54680 in-state and 54680 out-of-state ","58","50"
"Bard College at Simon's Rock","","55732 in-state and 55732 out-of-state ","88","0"
"Barnard College","50619","55032 in-state and 55032 out-of-state ","15","75"
"Barry University","27266","29850 in-state and 29850 out-of-state ","85","0"
"Barstow Community College","","1391 in-state and 9131 out-of-state ","","0"
"Barton County Community College","","3440 in-state and 3440 out-of-state ","","0"
"Bastyr University","","26166 in-state and 26166 out-of-state ","","75"
"Bates College","47276","53794 in-state and 53794 out-of-state ","22","60"
"Bates Technical College","","4783 in-state and 10214 out-of-state ","","50"
"Baton Rouge Community College","","3981 in-state and 8059 out-of-state ","","7"
"Baton Rouge School of Computers",""," in-state  out-of-state ","","25"
"Bauder College",""," in-state  out-of-state ","","10"
"Bay College","","4830 in-state and 8910 out-of-state ","","0"
"Bay Mills Community College","","3250 in-state and 3250 out-of-state ","","0"
"Bay Path University","30290","34225 in-state and 34225 out-of-state ","63","25"
"Baylor University","33682","45727 in-state and 45727 out-of-state ","39","0"
"Beal College","","7800 in-state and 7800 out-of-state ","","30"
"Beaufort County Community College","","2344 in-state and 8104 out-of-state ","","0"
"Becker College","22731","39200 in-state and 39200 out-of-state ","69","0"
"Beckfield College","","4000 in-state and 4000 out-of-state ","","0"
"Beis Medrash Heichal Dovid","","9500 in-state and 9500 out-of-state ","","0"
"Belhaven University","19199","25300 in-state and 25300 out-of-state ","59","25"
"Bellarmine University","36193","42200 in-state and 42200 out-of-state ","89","25"
"Bellevue College","","4258 in-state and 9689 out-of-state ","","34"
"Bellevue University","","9390 in-state and 9390 out-of-state ","","50"
"Bellin College","","22178 in-state and 22178 out-of-state ","85","0"
"Bellingham Technical College","","2790 in-state and 3460 out-of-state ","","0"
"Belmont Abbey College","","18500 in-state and 18500 out-of-state ","","0"
"Belmont College","","4973 in-state and 8070 out-of-state ","","0"
"Belmont University","20078","34310 in-state and 34310 out-of-state ","81","50"
"Beloit College","45818","50040 in-state and 50040 out-of-state ","","0"
"Bel-Rea Institute of Animal Technology",""," in-state  out-of-state ","","0"
"Bemidji State University","8025","8696 in-state and 8696 out-of-state ","66","20"
"Benedict College","","16600 in-state and 16600 out-of-state ","","25"
"Benedictine College","24665","29530 in-state and 29530 out-of-state ","97","50"
"Benedictine University","23114","34290 in-state and 34290 out-of-state ","62","40"
"Benjamin Franklin Institute of Technology","","18690 in-state and 18690 out-of-state ","","25"
"Bennett College for Women","","18513 in-state and 18513 out-of-state ","","35"
"Bennington College","43749","54360 in-state and 54360 out-of-state ","57","0"
"Bentley University","35924","49880 in-state and 49880 out-of-state ","44","75"
"Berea College","34670","39990 in-state and 39990 out-of-state ","35","0"
"Bergen Community College","","5610 in-state and 10650 out-of-state ","","0"
"Berkeley College",""," in-state  out-of-state ","","50"
"Berkeley College of New York City","","24750 in-state and 24750 out-of-state ","","50"
"Berks Technical Institute",""," in-state  out-of-state ","","50"
"Berkshire Community College","","8569 in-state and 15589 out-of-state ","","0"
"Berry College","30171","36556 in-state and 36556 out-of-state ","62","0"
"Beth Hamedrash Shaarei Yosher Institute",""," in-state  out-of-state ","","100"
"Beth Medrash Govoha","","21388 in-state and 21388 out-of-state ","","175"
"Bethany College","","29773 in-state and 29773 out-of-state ","94","0"
"Bethany Lutheran College","21015","27650 in-state and 27650 out-of-state ","79","0"
"Bethel College","28727","28780 in-state and 28780 out-of-state ","56","0"
"Bethel University","","16552 in-state and 16552 out-of-state ","94","30"
"Bethesda University of California","","8350 in-state and 8350 out-of-state ","","50"
"Bethune-Cookman University","15903","14814 in-state and 14814 out-of-state ","54","25"
"Beulah Heights University","","9880 in-state and 9880 out-of-state ","","50"
"Bevill State Community College","","4770 in-state and 8640 out-of-state ","","0"
"Big Bend Community College","","4272 in-state and 9703 out-of-state ","","30"
"Big Sandy Community and Technical College","","5310 in-state and 18000 out-of-state ","","0"
"Biola University","22083","40488 in-state and 40488 out-of-state ","72","45"
"Birmingham-Southern College","31335","17650 in-state and 17650 out-of-state ","62","50"
"Bishop State Community College","","4740 in-state and 8610 out-of-state ","","0"
"Bismarck State College","8666","4790 in-state and 6785 out-of-state ","100","35"
"Black Hawk College","2992","4470 in-state and 7650 out-of-state ","100","20"
"Black Hills State University","","8733 in-state and 11778 out-of-state ","87","20"
"Black River Technical College","","3660 in-state and 6510 out-of-state ","","0"
"Blackburn College","","22410 in-state and 22410 out-of-state ","60","0"
"Blackfeet Community College","","","","30"
"Blackhawk Technical College","","","","30"
"Bladen Community College","","2528 in-state and 8672 out-of-state ","","0"
"Blessing-Rieman College of Nursing &amp; Health Sciences","","25250 in-state and 25250 out-of-state ","","0"
"Bloomfield College","28719","29550 in-state and 29550 out-of-state ","62","40"
"Bloomsburg University of Pennsylvania","8411","10958 in-state and 22532 out-of-state ","73","35"
"Blue Mountain College","11593","12584 in-state and 12584 out-of-state ","100","0"
"Blue Mountain Community College","","6188 in-state and 15908 out-of-state ","","25"
"Blue Ridge Community and Technical College","","4128 in-state and 7464 out-of-state ","","25"
"Blue Ridge Community College","","2365 in-state and 8125 out-of-state ","","0"
"Bluefield College","19789","25290 in-state and 25290 out-of-state ","91","0"
"Bluefield State College","2862","8820 in-state and 16920 out-of-state ","","0"
"Bluegrass Community and Technical College","","5310 in-state and 18000 out-of-state ","","0"
"Bluffton University","","32766 in-state and 32766 out-of-state ","49","0"
"Bob Jones University","11320","18150 in-state and 18150 out-of-state ","86","0"
"Boise Bible College","","12520 in-state and 12520 out-of-state ","","25"
"Boise State University","11233","7694 in-state and 23776 out-of-state ","84","50"
"Boricua College","","11025 in-state and 11025 out-of-state ","93","25"
"Bossier Parish Community College","10901","4283 in-state and 8960 out-of-state ","100","0"
"Boston Architectural College","","21894 in-state and 21894 out-of-state ","22","50"
"Boston Baptist College","","12600 in-state and 12600 out-of-state ","","50"
"Boston College","41768","55464 in-state and 55464 out-of-state ","32","75"
"Boston Conservatory at Berklee","17305","46020 in-state and 46020 out-of-state ","","110"
"Boston University","47702","53948 in-state and 53948 out-of-state ","25","80"
"Bowdoin College","44146","53922 in-state and 53922 out-of-state ","14","65"
"Bowie State University","9389","8233 in-state and 18873 out-of-state ","44","40"
"Bowling Green State University","13810","11105 in-state and 19093 out-of-state ","68","45"
"Bradford School",""," in-state  out-of-state ","","50"
"Bradford School: Pittsburgh",""," in-state  out-of-state ","","50"
"Bradley University","24549","33760 in-state and 33760 out-of-state ","71","35"
"Bramson ORT College",""," in-state  out-of-state ","","50"
"Brandeis University","44761","55395 in-state and 55395 out-of-state ","34","80"
"Brandman University","2965","15380 in-state and 15380 out-of-state ","","0"
"Brazosport College","","2715 in-state and 5355 out-of-state ","","0"
"Brenau University","24035","29050 in-state and 29050 out-of-state ","66","0"
"Brescia University","","22400 in-state and 22400 out-of-state ","42","25"
"Brevard College","20009","29350 in-state and 29350 out-of-state ","45","0"
"Brewton-Parker College","","18690 in-state and 18690 out-of-state ","","35"
"Briar Cliff University","33359","31964 in-state and 31964 out-of-state ","","20"
"BridgeValley Community and Technical College","","5460 in-state and 13020 out-of-state ","","0"
"Bridgewater College","32931","35160 in-state and 35160 out-of-state ","52","0"
"Bridgewater State University","8523","10367 in-state and 16507 out-of-state ","80","50"
"Brigham Young University","6921","5620 in-state and 5620 out-of-state ","52","35"
"Brigham Young University-Hawaii","","5560 in-state and 5560 out-of-state ","","30"
"Brigham Young University-Idaho","","4118 in-state and 4118 out-of-state ","95","35"
"Brightwood Career Institute",""," in-state  out-of-state ","","10"
"Brightwood College: Baltimore",""," in-state  out-of-state ","","10"
"Brightwood College: Beltsville",""," in-state  out-of-state ","","10"
"Brightwood College: Towson",""," in-state  out-of-state ","","10"
"Bristol Community College","","5970 in-state and 12150 out-of-state ","","10"
"Broadview University: Orem","","14625 in-state and 14625 out-of-state ","","50"
"Broadview University: West Jordan","","14625 in-state and 14625 out-of-state ","","50"
"Brookhaven College","","1770 in-state and 5220 out-of-state ","","0"
"Brookline College: Phoenix",""," in-state  out-of-state ","","0"
"Brookline College: Tucson",""," in-state  out-of-state ","","0"
"Broome Community College","","5482 in-state and 10210 out-of-state ","","50"
"Broward College","0","3540 in-state and 11190 out-of-state ","100","35"
"Brown University","47438","55656 in-state and 55656 out-of-state ","8","75"
"Brunswick Community College","","2380 in-state and 8140 out-of-state ","","0"
"Bryan College of Health Sciences","","18270 in-state and 18270 out-of-state ","","50"
"Bryan College: Sacramento",""," in-state  out-of-state ","","20"
"Bryan University",""," in-state  out-of-state ","","25"
"Bryan University: Topeka",""," in-state  out-of-state ","","50"
"Bryant &amp; Stratton College: Amherst","","17190 in-state and 17190 out-of-state ","","35"
"Bryant University","25278","43973 in-state and 43973 out-of-state ","73","50"
"Bryn Mawr College","47447","52360 in-state and 52360 out-of-state ","38","50"
"Bucknell University","37500","56092 in-state and 56092 out-of-state ","31","40"
"Bucks County Community College","","5660 in-state and 14660 out-of-state ","97","0"
"Buena Vista University","29904","34004 in-state and 34004 out-of-state ","64","0"
"Bunker Hill Community College","","5580 in-state and 11760 out-of-state ","81","0"
"Burlington College","","","","20"
"Butler County Community College","","4950 in-state and 10950 out-of-state ","","25"
"Butler University","25981","41120 in-state and 41120 out-of-state ","65","0"
"Butte College","","1498 in-state and 8518 out-of-state ","","0"
"Cabarrus College of Health Sciences","","13194 in-state and 13194 out-of-state ","67","50"
"Cabrillo College","","1500 in-state and 9300 out-of-state ","","0"
"Cairn University","24301","27279 in-state and 27279 out-of-state ","99","25"
"Caldwell Community College and Technical Institute","","2356 in-state and 8116 out-of-state ","","0"
"Caldwell University","32311","34715 in-state and 34715 out-of-state ","64","50"
"Calhoun Community College","","4840 in-state and 8690 out-of-state ","","0"
"California Baptist University","24142","33478 in-state and 33478 out-of-state ","78","45"
"California Christian College","3265","9570 in-state and 9570 out-of-state ","100","40"
"California Coast University","","4500 in-state and 4500 out-of-state ","","75"
"California College San Diego",""," in-state  out-of-state ","","0"
"California Institute of Integral Studies","","20230 in-state and 20230 out-of-state ","","65"
"California Institute of Technology","46321","52362 in-state and 52362 out-of-state ","8","75"
"California Institute of the Arts","35000","49276 in-state and 49276 out-of-state ","24","70"
"California International Business University","","","","70"
"California Learning Center","","","","50"
"California Lutheran University","3196","42693 in-state and 42693 out-of-state ","73","25"
"California Maritime Academy","10546","7135 in-state and 13273 out-of-state ","","55"
"California Miramar University","5570","12180 in-state and 12180 out-of-state ","","0"
"California National University for Advanced Studies",""," in-state  out-of-state ","","75"
"California Polytechnic State University: San Luis Obispo","9996","9816 in-state and 21696 out-of-state ","35","55"
"California State University: Bakersfield","11721","7147 in-state and 19027 out-of-state ","100","55"
"California State University: Chico","17631","7618 in-state and 17122 out-of-state ","69","55"
"California State University: Dominguez Hills","5730","6837 in-state and 18717 out-of-state ","77","55"
"California State University: East Bay","","6834 in-state and 18714 out-of-state ","74","55"
"California State University: Fresno","12505","6585 in-state and 18465 out-of-state ","59","55"
"California State University: Fullerton","","6870 in-state and 18750 out-of-state ","46","55"
"California State University: Long Beach","12577","6798 in-state and 18678 out-of-state ","29","15"
"California State University: Los Angeles","10192","6639 in-state and 18519 out-of-state ","46","55"
"California State University: Monterey Bay","11840","7143 in-state and 19023 out-of-state ","53","55"
"California State University: Northridge","11212","6888 in-state and 17622 out-of-state ","58","55"
"California State University: Sacramento","10662","7204 in-state and 19084 out-of-state ","68","55"
"California State University: San Bernardino","9590","6656 in-state and 13064 out-of-state ","57","55"
"California State University: San Marcos","10484","7648 in-state and 19166 out-of-state ","77","55"
"California State University: Stanislaus","16904","7076 in-state and 20290 out-of-state ","77","55"
"California University of Management and Sciences","0","10410 in-state and 10410 out-of-state ","81","100"
"California University of Pennsylvania","10026","11108 in-state and 14966 out-of-state ","94","25"
"Calumet College of St. Joseph","13621","19870 in-state and 19870 out-of-state ","51","0"
"Calvary University","","11164 in-state and 11164 out-of-state ","74","0"
"Calvin College","25195","34600 in-state and 34600 out-of-state ","83","35"
"Cambria-Rowe Business College",""," in-state  out-of-state ","","30"
"Cambridge College","5882","13040 in-state and 13040 out-of-state ","42","50"
"Camden County College","","","","0"
"Cameron University","7985","6450 in-state and 15870 out-of-state ","100","20"
"Campbellsville University","22539","25400 in-state and 25400 out-of-state ","69","20"
"Canada College","","1440 in-state and 8670 out-of-state ","","0"
"Canisius College","34108","28488 in-state and 28488 out-of-state ","","40"
"Cankdeska Cikana Community College","","4050 in-state and 4050 out-of-state ","","0"
"Canton City Schools - Adult Community Education","","","","0"
"Cape Cod Community College","","6330 in-state and 12510 out-of-state ","","0"
"Cape Fear Community College","","","","0"
"Capella University","","13788 in-state and 13788 out-of-state ","","50"
"Capital Community College","","4404 in-state and 13172 out-of-state ","","20"
"Capital University","30669","35466 in-state and 35466 out-of-state ","69","25"
"Capitol Technology University","","25428 in-state and 25428 out-of-state ","","25"
"Cardinal Stritch University","28810","29998 in-state and 29998 out-of-state ","47","0"
"Career College of Northern Nevada","","11250 in-state and 11250 out-of-state ","","25"
"Career Training Academy",""," in-state  out-of-state ","","30"
"Career Training Academy: Monroeville",""," in-state  out-of-state ","","30"
"Career Training Academy: Pittsburgh",""," in-state  out-of-state ","","30"
"Caribbean University","","6570 in-state and 6570 out-of-state ","80","30"
"Carl Albert State College","","3818 in-state and 7943 out-of-state ","","0"
"Carl Sandburg College","","5000 in-state and 8330 out-of-state ","","0"
"Carleton College","47776","54759 in-state and 54759 out-of-state ","21","30"
"Carlos Albizu University: San Juan","","5912 in-state and 5912 out-of-state ","","75"
"Carlow University","24457","29454 in-state and 29454 out-of-state ","91","0"
"Carnegie Mellon University","44812","55465 in-state and 55465 out-of-state ","22","75"
"Carolina Christian College","","8300 in-state and 8300 out-of-state ","","50"
"Carolinas College of Health Sciences",""," in-state  out-of-state ","","50"
"Carrington College: Boise",""," in-state  out-of-state ","","0"
"Carrington College: Phoenix",""," in-state  out-of-state ","","0"
"Carrington College: Tucson",""," in-state  out-of-state ","","0"
"Carroll College","26459","35486 in-state and 35486 out-of-state ","78","35"
"Carroll Community College","","5160 in-state and 10448 out-of-state ","","0"
"Carroll University","","31918 in-state and 31918 out-of-state ","71","0"
"Carson-Newman University","24975","27900 in-state and 27900 out-of-state ","67","0"
"Carteret Community College","","2372 in-state and 8132 out-of-state ","","0"
"Carver College","","13475 in-state and 13475 out-of-state ","","35"
"Cascadia College","","4447 in-state and 9878 out-of-state ","100","35"
"Case Western Reserve University","46967","49042 in-state and 49042 out-of-state ","33","70"
"Casper College","","3072 in-state and 7584 out-of-state ","68","0"
"Castleton University","","12314 in-state and 28322 out-of-state ","","40"
"Catawba College","26659","30520 in-state and 30520 out-of-state ","42","0"
"Catawba Valley Community College","","2400 in-state and 8160 out-of-state ","","0"
"Catholic Distance University","","10050 in-state and 10050 out-of-state ","","25"
"Catholic University of America","31104","45804 in-state and 45804 out-of-state ","83","55"
"Cazenovia College","36189","34630 in-state and 34630 out-of-state ","92","0"
"Cecil College","","4305 in-state and 9015 out-of-state ","100","0"
"Cedar Crest College","30533","39216 in-state and 39216 out-of-state ","63","0"
"Cedarville University","22070","30270 in-state and 30270 out-of-state ","71","30"
"Centenary College of Louisiana","28259","36580 in-state and 36580 out-of-state ","62","0"
"Centenary University","7752","32998 in-state and 32998 out-of-state ","88","30"
"Central Alabama Community College","","4740 in-state and 8610 out-of-state ","","0"
"Central Arizona College","","2580 in-state and 11100 out-of-state ","","0"
"Central Carolina Community College","","2392 in-state and 8152 out-of-state ","","0"
"Central Carolina Technical College","","5760 in-state and 9630 out-of-state ","","0"
"Central Christian College of Kansas","22040","26674 in-state and 26674 out-of-state ","","0"
"Central Christian College of the Bible","","6400 in-state and 6400 out-of-state ","","50"
"Central Community College","","","","0"
"Central Connecticut State University","8747","10616 in-state and 21856 out-of-state ","67","50"
"Central Georgia Technical College","","3308 in-state and 5978 out-of-state ","","25"
"Central Lakes College","","5492 in-state and 5492 out-of-state ","","0"
"Central Maine Community College","7940","3720 in-state and 6540 out-of-state ","","20"
"Central Methodist University","20642","24420 in-state and 24420 out-of-state ","63","0"
"Central Michigan University","14438","12960 in-state and 12960 out-of-state ","68","35"
"Central New Mexico Community College","","","100","0"
"Central Ohio Technical College","","4536 in-state and 7296 out-of-state ","","0"
"Central Oregon Community College","10728","4938 in-state and 13218 out-of-state ","100","25"
"Central Penn College","","18714 in-state and 18714 out-of-state ","97","0"
"Central Piedmont Community College","","2792 in-state and 8936 out-of-state ","","0"
"Central State University","","","48","20"
"Central Texas College","","2700 in-state and 7050 out-of-state ","","0"
"Central Virginia Community College","","4838 in-state and 10766 out-of-state ","","0"
"Central Washington University","11110","8072 in-state and 23053 out-of-state ","86","50"
"Central Wyoming College","","3120 in-state and 7632 out-of-state ","","0"
"Centralia College","","4438 in-state and 4873 out-of-state ","","0"
"Centre College","34441","41700 in-state and 41700 out-of-state ","76","0"
"Centro de Estudios Multidisciplinarios",""," in-state  out-of-state ","","30"
"Century College","","5417 in-state and 5417 out-of-state ","100","20"
"Cerro Coso Community College","","1382 in-state and 7802 out-of-state ","","0"
"Chabot College","","1414 in-state and 9664 out-of-state ","","0"
"Chadron State College","","","","15"
"Chaffey College","","1414 in-state and 9454 out-of-state ","","0"
"Chamberlain University: Arlington","","19500 in-state and 19500 out-of-state ","","95"
"Chamberlain University: St. Louis","","19500 in-state and 19500 out-of-state ","","95"
"Chaminade University of Honolulu","19292","25374 in-state and 25374 out-of-state ","91","50"
"Champlain College","28236","41010 in-state and 41010 out-of-state ","75","0"
"Chapman University","35342","52724 in-state and 52724 out-of-state ","57","70"
"Charles R Drew University of Medicine and Science","","17440 in-state and 17440 out-of-state ","96","35"
"Charleston Southern University","","25500 in-state and 25500 out-of-state ","56","40"
